trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
168,False,"{'a': 0.2, 'e': 0.8453538346846587}",25,0,-103.93080986576713,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
169,False,"{'a': 0.2, 'e': 0.8445089033860343}",25,0,-37.471614925753435,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
170,False,"{'a': 0.2, 'e': 0.8436648165963837}",25,0,-157.85073238927924,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
171,False,"{'a': 0.2, 'e': 0.8428215734716199}",25,0,-71.2622553155239,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
172,False,"{'a': 0.2, 'e': 0.8419791731684999}",25,0,-94.01836490645223,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
173,False,"{'a': 0.2, 'e': 0.8411376148446232}",25,0,-212.36066005935476,"{0: 15, 1: 2, 2: 2, 3: 2, 4: 4}",0
174,False,"{'a': 0.2, 'e': 0.8402968976584314}",25,0,-75.14414300393624,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",1
175,False,"{'a': 0.2, 'e': 0.8394570207692074}",20,0,-106.45303261652937,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
176,False,"{'a': 0.2, 'e': 0.838617983337074}",20,16,7.237088771084958,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.2, 'e': 0.8377797845229938}",20,0,-149.12604627092153,"{0: 8, 1: 1, 2: 9, 3: 1, 4: 1}",0
178,False,"{'a': 0.2, 'e': 0.8369424234887681}",25,0,-138.26964580772858,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
179,False,"{'a': 0.2, 'e': 0.8361058993970355}",35,15,-21.096837658499165,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
180,False,"{'a': 0.2, 'e': 0.835270211411272}",20,0,-40.477812273273614,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
181,False,"{'a': 0.2, 'e': 0.8344353586957896}",25,0,-172.80899362964453,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
